symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,group_eligible
932000.SH,中证2000,20,250,14,60,1.05,1.05,-0.08952321479206637,-0.3157592337232923,5,4.182014044946469,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=14/60|buy=1.05|sell=1.05,False
399006.SZ,创业板指,20,250,14,60,1.05,1.05,-0.06049125038799885,-0.40520678693290013,1,0.9997000899730081,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=14/60|buy=1.05|sell=1.05,False
000852.SH,中证1000,20,250,14,60,1.05,1.05,-0.06793976986316186,-0.2867097641035501,4,3.9505242055488856,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=14/60|buy=1.05|sell=1.05,False
932000.SH,中证2000,20,250,14,60,1.05,1.05,-0.08986679178061374,-0.3157592337232923,4,4.175529205163717,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=14/60|buy=1.05|sell=1.05,False
399006.SZ,创业板指,20,250,20,40,1.0,1.05,-0.024191195648626485,-0.12158759667536045,1,0.9997000899730082,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
000852.SH,中证1000,20,250,20,40,1.0,1.05,-0.07080261387525377,-0.18088097212983278,2,1.8995563803823925,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
932000.SH,中证2000,20,250,20,40,1.0,1.05,-0.030214370729572337,-0.42439565169040105,3,3.123748648676513,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
399006.SZ,创业板指,20,250,20,40,1.0,1.05,-0.024191195648626485,-0.12158759667536045,1,0.9997000899730082,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=20/40|buy=1.00|sell=1.05,False
000852.SH,中证1000,20,250,20,40,1.0,1.05,-0.07072054902638059,-0.17872325696613656,3,1.9000065583714583,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=20/40|buy=1.00|sell=1.05,False
932000.SH,中证2000,20,250,20,40,1.0,1.05,-0.0298504695882833,-0.42322030445298553,4,3.128085819882638,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=20/40|buy=1.00|sell=1.05,False
399006.SZ,创业板指,20,250,20,40,1.0,1.05,-0.024191195648626485,-0.12158759667536045,1,0.9997000899730082,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=20/40|buy=1.00|sell=1.05,False
000852.SH,中证1000,20,250,20,40,1.0,1.05,-0.07080261387525377,-0.18088097212983278,2,1.8995563803823925,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=20/40|buy=1.00|sell=1.05,False
932000.SH,中证2000,20,250,20,40,1.0,1.05,-0.030214370729572337,-0.42439565169040105,3,3.123748648676513,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=20/40|buy=1.00|sell=1.05,False
399006.SZ,创业板指,20,250,20,40,1.05,1.05,-0.07277630306089433,-0.40520678693290013,3,2.517403649473932,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
000852.SH,中证1000,20,250,20,40,1.05,1.05,-0.06793976986316186,-0.2867097641035501,4,3.9505242055488856,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
932000.SH,中证2000,20,250,20,40,1.05,1.05,-0.030214370729572337,-0.42439565169040105,3,3.123748648676513,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
399006.SZ,创业板指,20,250,20,40,1.05,1.05,-0.07277630306089433,-0.40520678693290013,3,2.517403649473932,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,False
000852.SH,中证1000,20,250,20,40,1.05,1.05,-0.06785746588673991,-0.28493214741022277,5,3.950982295830247,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,False
932000.SH,中证2000,20,250,20,40,1.05,1.05,-0.0298504695882833,-0.42322030445298553,4,3.128085819882638,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,False
399006.SZ,创业板指,20,250,20,40,1.05,1.05,-0.07277630306089433,-0.40520678693290013,3,2.517403649473932,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=20/40|buy=1.05|sell=1.05,False
000852.SH,中证1000,20,250,20,40,1.05,1.05,-0.06793976986316186,-0.2867097641035501,4,3.9505242055488856,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=20/40|buy=1.05|sell=1.05,False
932000.SH,中证2000,20,250,20,40,1.05,1.05,-0.030214370729572337,-0.42439565169040105,3,3.123748648676513,0.0,True,0.2,False,high_beta,vol_on|tv=0.20|atr=20/40|buy=1.05|sell=1.05,False
